Player Name,Club,Clean Sheets_Percentile,Goals Conceded_Percentile,Saves_Percentile,Saves %_Percentile,Penalties Saved_Percentile,Punches_Percentile,High Claims_Percentile,Goals Prevented_Percentile,Goalkeeping_Percentile
Jordan Pickford,Everton,85.71,53.57,92.86,92.86,96.43,92.86,57.14,100.0,83.93
Matz Sels,Nottingham Forest,96.43,71.43,85.71,64.29,28.57,100.0,21.43,78.57,68.3
Dean Henderson,Crystal Palace,78.57,85.71,78.57,25.0,71.43,60.71,50.0,85.71,66.96
Mark Flekken,Brentford,14.29,92.86,100.0,92.86,28.57,71.43,78.57,21.43,62.5
Robert Sánchez,Chelsea,67.86,25.0,57.14,92.86,71.43,17.86,85.71,50.0,58.48
Nick Pope,Newcastle United,35.71,35.71,35.71,64.29,71.43,82.14,71.43,64.29,57.59
Emiliano Martínez,Aston Villa,35.71,64.29,71.43,42.86,71.43,35.71,100.0,28.57,56.25
David Raya,Arsenal,96.43,25.0,28.57,64.29,28.57,50.0,92.86,50.0,54.46
Kepa,Bournemouth,35.71,42.86,64.29,50.0,28.57,82.14,32.14,50.0,48.21
Alisson Becker,Liverpool,53.57,14.29,21.43,78.57,28.57,60.71,7.14,71.43,41.96
André Onana,Manchester United,53.57,53.57,42.86,25.0,71.43,17.86,32.14,35.71,41.52
José Sá,Wolverhampton Wanderers,14.29,78.57,14.29,7.14,96.43,17.86,64.29,14.29,38.4
Ederson,Manchester City,67.86,7.14,7.14,35.71,28.57,42.86,14.29,92.86,37.05
Bart Verbruggen,Brighton & Hove Albion,14.29,100.0,50.0,14.29,28.57,17.86,42.86,7.14,34.38
